image_path,split,article_id,is_clothing,color_group,fabric_group,color_label,fabric_label,pattern_flag,h,s,v,clothing_label,wash_temp_c,wash_cycle,spin_rpm,wash_notes,wash_cycle_label,color_label_train,fabric_label_train,wash_cycle_label_train
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0758928004_0.jpg,train,758928004,1,COLORFUL,COTTON,2.0,0.0,1,0.4583001607404831,0.2328232926896051,0.5671982792237031,1,30.0,normal,900.0,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1.0,2,0,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0682238037_0.jpg,train,682238037,0,,,,,0,0.0635010061666257,0.2149321425445239,0.8420010527770501,0,,,,,,0,0,0
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0731889001_0.jpg,train,731889001,1,COLORFUL,COTTON,2.0,0.0,1,0.422986646533909,0.0221942521269518,0.8626658783741732,1,30.0,normal,900.0,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1.0,2,0,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0739825017_0.jpg,train,739825017,1,COLORFUL,COTTON,2.0,0.0,1,0.3342727718667678,0.1370924289092413,0.749006930221185,1,30.0,normal,900.0,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1.0,2,0,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0732873001_0.jpg,train,732873001,0,,,,,0,0.3790179222340548,0.0604514811743191,0.3474678858812581,0,,,,,,0,0,0
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0696944005_0.jpg,train,696944005,1,COLORFUL,COTTON,2.0,0.0,1,0.6808375131700468,0.2486730375973985,0.7497850737418048,1,30.0,normal,900.0,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1.0,2,0,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0665636003_0.jpg,train,665636003,1,DARK,SYNTHETIC,1.0,4.0,0,0.0650138236514531,0.2160317897436078,0.2282724445983603,1,30.0,quick,800.0,Use easy-care / anti-crease program if available. Wash with similar dark colors. Use color-care detergent.,3.0,1,4,2
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0759974001_0.jpg,train,759974001,1,LIGHT,COTTON,0.0,0.0,0,0.128520174201794,0.0691847413327196,0.8107146728052612,1,30.0,normal,1000.0,Turn inside out if printed or dark. Wash with light colors.,1.0,0,0,1
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0714480001_0.jpg,train,714480001,0,,,,,0,0.1568155728829918,0.0790637418810368,0.8893561933309684,0,,,,,,0,0,0
/content/drive/MyDrive/wash_ai_outputs/crops_backup/content/wash_ai_project/crops/val/0690950010_0.jpg,train,690950010,1,COLORFUL,COTTON,2.0,0.0,1,0.8329332862785311,0.3330262051938331,0.8122589798331319,1,30.0,normal,900.0,Turn inside out if printed or dark. Wash with similar bright colors. Do not overload the drum.,1.0,2,0,1
